name_round,start_day,end_day,month,country_flag,event_place,event_title,event_img
TESTING,21,23,Feb,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/bahrain-flag.png.transform/2col/image.png,Sakhir,FORMULA 1 ARAMCO PRE-SEASON TESTING 2024,https://media.formula1.com/content/dam/fom-website/races/2024/race-listing/Pre-Season-Testing.jpg.transform/9col/image.jpg
ROUND 1,29,02,Feb-Mar,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/bahrain-flag.png.transform/2col/image.png,Bahrain,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Bahrain%20carbon.png.transform/2col/image.png
ROUND 2,07,09,Mar,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/saudi-arabia-flag.png.transform/2col/image.png,Saudi Arabia,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Saudi%20Arabia%20carbon.png.transform/2col/image.png
ROUND 3,22,24,Mar,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/australia-flag.png.transform/2col/image.png,Australia,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Australia%20carbon.png.transform/2col/image.png
ROUND 4,05,07,Apr,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/japan-flag.png.transform/2col/image.png,Japan,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Japan%20carbon.png.transform/2col/image.png
ROUND 5,19,21,Apr,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/china-flag.png.transform/2col/image.png,China,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/China%20carbon.png.transform/2col/image.png
ROUND 6,03,05,May,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-flag.png.transform/2col/image.png,Miami,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Miami%20carbon.png.transform/2col/image.png
ROUND 7,17,19,May,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/italy-flag.png.transform/2col/image.png,Emilia-Romagna,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Emilia-Romagna%20carbon.png.transform/2col/image.png
ROUND 8,24,26,May,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/monaco-flag.png.transform/2col/image.png,Monaco,FORMULA 1 GRAND PRIX DE MONACO 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Monaco%20carbon.png.transform/2col/image.png
ROUND 9,07,09,Jun,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/canada-flag.png.transform/2col/image.png,Canada,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Canada%20carbon.png.transform/2col/image.png
ROUND 10,21,23,Jun,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/spain-flag.png.transform/2col/image.png,Spain,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Spain%20carbon.png.transform/2col/image.png
ROUND 11,28,30,Jun,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/austria-flag.png.transform/2col/image.png,Austria,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Austria%20carbon.png.transform/2col/image.png
ROUND 12,05,07,Jul,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png.transform/2col/image.png,Great Britain,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Great%20Britain%20carbon.png.transform/2col/image.png
ROUND 13,19,21,Jul,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/hungary-flag.png.transform/2col/image.png,Hungary,FORMULA 1 HUNGARIAN GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Hungary%20carbon.png.transform/2col/image.png
ROUND 14,26,28,Jul,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/belgium-flag.png.transform/2col/image.png,Belgium,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Belgium%20carbon.png.transform/2col/image.png
ROUND 15,23,25,Aug,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/netherlands-flag.png.transform/2col/image.png,Netherlands,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Netherlands%20carbon.png.transform/2col/image.png
ROUND 16,30,01,Aug-Sep,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/italy-flag.png.transform/2col/image.png,Italy,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Italy%20carbon.png.transform/2col/image.png
ROUND 17,13,15,Sep,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/azerbaijan-flag.png.transform/2col/image.png,Azerbaijan,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Azerbaijan%20carbon.png.transform/2col/image.png
ROUND 18,20,22,Sep,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/singapore-flag.png.transform/2col/image.png,Singapore,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Singapore%20carbon.png.transform/2col/image.png
